CSR_TIMESTAMP_BEGIN,CSR_TIMESTAMP_END,CSR_PAR,CSR_STATISTIC
2008-06-17 17:35:19 ,2008-06-17 17:45:19 ,1651,mean
2008-06-17 17:50:19 ,2008-06-17 18:00:19 ,1718,mean
2008-06-17 18:05:19 ,2008-06-17 18:15:19 ,1781,mean
2008-06-17 18:20:19 ,2008-06-17 18:30:19 ,1837,mean
2008-06-17 18:35:19 ,2008-06-17 18:45:19 ,1888,mean
2008-06-17 18:50:19 ,2008-06-17 19:00:19 ,1931,mean
2008-06-17 19:05:19 ,2008-06-17 19:15:19 ,1968,mean
2008-06-17 19:20:19 ,2008-06-17 19:30:19 ,1998,mean
2008-06-17 19:35:19 ,2008-06-17 19:45:19 ,2019,mean
2008-06-17 19:50:19 ,2008-06-17 20:00:19 ,2033,mean
2008-06-17 20:05:19 ,2008-06-17 20:15:19 ,2041,mean
2008-06-17 20:20:19 ,2008-06-17 20:30:19 ,2044,mean
2008-06-17 20:35:19 ,2008-06-17 20:45:19 ,2038,mean
2008-06-17 20:50:19 ,2008-06-17 21:00:19 ,2028,mean
2008-06-17 21:05:19 ,2008-06-17 21:15:19 ,2009,mean
2008-06-17 21:20:19 ,2008-06-17 21:30:19 ,1977,mean
2008-06-17 21:35:19 ,2008-06-17 21:45:19 ,1938,mean
2008-06-17 21:50:19 ,2008-06-17 22:00:19 ,1909,mean
2008-06-17 22:05:19 ,2008-06-17 22:15:19 ,1863,mean
2008-06-17 22:20:19 ,2008-06-17 22:30:19 ,1810,mean
2008-06-17 22:35:19 ,2008-06-17 22:45:19 ,1747,mean
2008-06-17 22:50:19 ,2008-06-17 23:00:19 ,1680,mean
2008-06-17 23:05:19 ,2008-06-17 23:15:19 ,1607,mean
2008-06-17 23:20:19 ,2008-06-17 23:30:19 ,1531,mean
2008-06-17 23:35:19 ,2008-06-17 23:45:19 ,1447,mean
2008-06-17 23:50:19 ,2008-06-18 00:00:19 ,1359,mean
2008-06-18 00:05:19 ,2008-06-18 00:15:19 ,1266,mean
2008-06-18 00:20:19 ,2008-06-18 00:30:19 ,1168,mean
2008-06-18 00:35:19 ,2008-06-18 00:45:19 ,1068,mean
2008-06-18 00:50:19 ,2008-06-18 01:00:19 ,964,mean
2008-06-18 01:05:19 ,2008-06-18 01:15:19 ,858,mean
2008-06-18 01:20:19 ,2008-06-18 01:30:19 ,752.1,mean
2008-06-18 01:35:19 ,2008-06-18 01:45:19 ,641.7,mean
2008-06-18 01:50:19 ,2008-06-18 02:00:19 ,535.9,mean
2008-06-18 02:05:19 ,2008-06-18 02:15:19 ,431.3,mean
2008-06-18 02:20:19 ,2008-06-18 02:30:19 ,331,mean
2008-06-18 02:35:19 ,2008-06-18 02:45:19 ,236.3,mean
2008-06-18 02:50:19 ,2008-06-18 03:00:19 ,144.3,mean
2008-06-18 03:05:19 ,2008-06-18 03:15:19 ,65.71,mean
2008-06-18 03:20:19 ,2008-06-18 03:30:19 ,21.45,mean
2008-06-18 03:35:19 ,2008-06-18 03:45:19 ,4.211,mean
2008-06-18 03:50:19 ,2008-06-18 04:00:19 ,0.363,mean
2008-06-18 04:05:19 ,2008-06-18 04:15:19 ,0.302,mean
2008-06-18 04:20:19 ,2008-06-18 04:30:19 ,0.302,mean
2008-06-18 04:35:19 ,2008-06-18 04:45:19 ,0.302,mean
